,cinahl_no,medline_no,cinahl_title,medline_title,cinahl_author,medline_author,not_dup
604,1044,27181,Full-mouth treatment concepts for chronic periodontitis: a systematic review.,Full-mouth treatment concepts for chronic periodontitis: a systematic review.,"Eberhard J; JervÃ¸e-Storm P; Needleman I; Worthington H; Jepsen S; Journal of Clinical Periodontology, 2008 Jul; 35 (7): 591-604. (journal article - research, systematic review) ISSN: 0303-6979 PMID: 18498383 CINAHL AN: 200994708","Eberhard J(1), JervÃ¸e-Storm PM, Needleman I, Worthington H, Jepsen S.",
605,1046,27183,Does drinking pattern modify the effect of alcohol on the risk of coronary heart disease? Evidence from a meta-analysis.,Does drinking pattern modify the effect of alcohol on the risk of coronary heart  disease? Evidence from a meta-analysis.,"Bagnardi V; Zatonski W; Scotti L; La Vecchia C; Corrao G; Journal of Epidemiology & Community Health, 2008 Jul; 62 (7): 615-9. (journal article - research, systematic review, tables/charts) ISSN: 0143-005X PMID: 18559444 CINAHL AN: 201001564","Bagnardi V(1), Zatonski W, Scotti L, La Vecchia C, Corrao G.",
606,1047,27187,"Comparison between angiotensin-converting enzyme inhibitors and angiotensin receptor blockers on the risk of myocardial infarction, stroke and death: a meta-analysis.","Comparison between angiotensin-converting enzyme inhibitors and angiotensin receptor blockers on the risk of myocardial infarction, stroke and death: a meta-analysis.","Reboldi G; Angeli F; Cavallini C; Gentile G; Mancia G; Verdecchia P; Journal of Hypertension, 2008 Jul; 26 (7): 1282-9. (journal article - research, systematic review, tables/charts) ISSN: 0263-6352 PMID: 18550998 CINAHL AN: 201001455","Reboldi G(1), Angeli F, Cavallini C, Gentile G, Mancia G, Verdecchia P.",
607,1050,27201,Treatment of unexplained infertility with aromatase inhibitors or clomiphene citrate: a systematic review and meta-analysis.,Treatment of unexplained infertility with aromatase inhibitors or clomiphene citrate: a systematic review and meta-analysis.,"Polyzos NP; Tzioras S; Mauri D; Tsappi M; Cortinovis I; Tsali L; Casazza G; Obstetrical & Gynecological Survey, 2008 Jul; 63 (7): 472-9. (journal article - research, systematic review, tables/charts) ISSN: 0029-7828 PMID: 18559123 CINAHL AN: 200997525","Polyzos NP(1), Tzioras S, Mauri D, Tsappi M, Cortinovis I, Tsali L, Casazza G.",
608,1052,27206,"Computer-delivered interventions for health promotion and behavioral risk reduction: a meta-analysis of 75 randomized controlled trials, 1988-2007.","Computer-delivered interventions for health promotion and behavioral risk reduction: a meta-analysis of 75 randomized controlled trials, 1988-2007.","Portnoy DB; Scott-Sheldon LA; Johnson BT; Carey MP; Preventive Medicine, 2008 Jul; 47 (1): 3-16. (journal article - research, systematic review, tables/charts) ISSN: 0091-7435 PMID: 18403003 CINAHL AN: 201000933","Portnoy DB(1), Scott-Sheldon LA, Johnson BT, Carey MP.",
609,1058,27101,Persistent human papillomavirus infection and cervical neoplasia: a systematic review and meta-analysis.,Persistent human papillomavirus infection and cervical neoplasia: a systematic review and meta-analysis.,"Koshiol J; Lindsay L; Pimenta JM; Poole C; Jenkins D; Smith JS; American Journal of Epidemiology, 2008 Jul 15; 168 (2): 123-37. (journal article - research, systematic review) ISSN: 0002-9262 PMID: 18483125 CINAHL AN: 200998407","Koshiol J(1), Lindsay L, Pimenta JM, Poole C, Jenkins D, Smith JS.",
610,1059,27102,Initial drug resistance and tuberculosis treatment outcomes: systematic review and meta-analysis.,Initial drug resistance and tuberculosis treatment outcomes: systematic review and meta-analysis.,"Lew W; Pai M; Oxlade O; Martin D; Annals of Internal Medicine, 2008 Jul 15; 149 (2): 123-34. (journal article - research, systematic review) ISSN: 0003-4819 PMID: 18626051 CINAHL AN: 200997875","Lew W(1), Pai M, Oxlade O, Martin D, Menzies D.",
611,1060,26997,Carotenoids and the risk of developing lung cancer: a systematic review.,Carotenoids and the risk of developing lung cancer: a systematic review.,"Gallicchio L; Boyd K; Matanoski G; Tao X; Chen L; Lam TK; Shiels M; Hammond E; Robinson KA; Caulfield LE; et al.; American Journal of Clinical Nutrition, 2008 Aug; 88 (2): 372-83. (journal article - research, systematic review) ISSN: 0002-9165 PMID: 18689373 CINAHL AN: 201001693","Gallicchio L(1), Boyd K, Matanoski G, Tao XG, Chen L, Lam TK, Shiels M, Hammond E, Robinson KA, Caulfield LE, Herman JG, Guallar E, Alberg AJ.",
612,1061,26998,The incidence of esophageal cancer and high-grade dysplasia in Barrett's esophagus: a systematic review and meta-analysis.,The incidence of esophageal cancer and high-grade dysplasia in Barrett's esophagus: a systematic review and meta-analysis.,"Yousef F; Cardwell C; Cantwell MM; Galway K; Johnston BT; Murray L; American Journal of Epidemiology, 2008 Aug 1; 168 (3): 237-49. (journal article - research, systematic review, tables/charts) ISSN: 0002-9262 PMID: 18550563 CINAHL AN: 200999575","Yousef F(1), Cardwell C, Cantwell MM, Galway K, Johnston BT, Murray L.",
613,1062,27002,Recovery of kidney function after acute kidney injury in the elderly: a systematic review and meta-analysis.,Recovery of kidney function after acute kidney injury in the elderly: a systematic review and meta-analysis.,"Schmitt R; Coca S; Kanbay M; Tinetti ME; Cantley LG; Parikh CR; American Journal of Kidney Diseases, 2008 Aug; 52 (2): 262-71. (journal article - research, systematic review) ISSN: 0272-6386 PMID: 18511164 CINAHL AN: 200999443","Schmitt R(1), Coca S, Kanbay M, Tinetti ME, Cantley LG, Parikh CR.",
614,1063,27001,Timing of renal replacement therapy initiation in acute renal failure: a meta-analysis.,Timing of renal replacement therapy initiation in acute renal failure: a meta-analysis.,"Seabra VF; Balk EM; Liangos O; Sosa MA; Cendoroglo M; Jaber BL; American Journal of Kidney Diseases, 2008 Aug; 52 (2): 272-84. (journal article - research, systematic review) ISSN: 0272-6386 PMID: 18562058 CINAHL AN: 200999443","Seabra VF(1), Balk EM, Liangos O, Sosa MA, Cendoroglo M, Jaber BL.",
615,1064,27010,Sunburns and risk of cutaneous melanoma: does age matter? A comprehensive meta-analysis.,Sunburns and risk of cutaneous melanoma: does age matter? A comprehensive meta-analysis.,"Dennis LK; Vanbeek MJ; Freeman LEB; Smith BJ; Dawson DV; Coughlin JA; Annals of Epidemiology, 2008 Aug; 18 (8): 614-27. (journal article - research, systematic review, tables/charts) ISSN: 1047-2797 PMID: 18652979 CINAHL AN: 201000333","Dennis LK(1), Vanbeek MJ, Beane Freeman LE, Smith BJ, Dawson DV, Coughlin JA.",
616,1065,27009,Smoking and the risk of age-related macular degeneration: a meta-analysis.,Smoking and the risk of age-related macular degeneration: a meta-analysis.,"Cong R; Zhou B; Sun Q; Gu H; Tang N; Wang B; Annals of Epidemiology, 2008 Aug; 18 (8): 647-56. (journal article - research, systematic review, tables/charts) ISSN: 1047-2797 PMID: 18652983 CINAHL AN: 201000333","Cong R(1), Zhou B, Sun Q, Gu H, Tang N, Wang B.",
617,1066,27019,Is implicit sequence learning impaired in schizophrenia? A meta-analysis.,Is implicit sequence learning impaired in schizophrenia? A meta-analysis.,"Siegert RJ; Weatherall M; Bell EM; Brain & Cognition, 2008 Aug; 67 (3): 351-9. (journal article - equations & formulas, research, systematic review, tables/charts) ISSN: 0278-2626 PMID: 18378373 CINAHL AN: 201001716","Siegert RJ(1), Weatherall M, Bell EM.",
618,1068,27025,Benefits and risks of adjunctive inhaled corticosteroids in chronic obstructive pulmonary disease: a meta-analysis.,Benefits and risks of adjunctive inhaled corticosteroids in chronic obstructive pulmonary disease: a meta-analysis.,"Sobieraj DM; White CM; Coleman CI; Clinical Therapeutics, 2008 Aug; 30 (8): 1416-25. (journal article - equations & formulas, research, systematic review, tables/charts, website) ISSN: 0149-2918 PMID: 18803985 CINAHL AN: 201004048","Sobieraj DM(1), White CM, Coleman CI.",
619,1070,27031,Do brief interventions which target alcohol consumption also reduce cigarette smoking? Systematic review and meta-analysis.,Do brief interventions which target alcohol consumption also reduce cigarette smoking? Systematic review and meta-analysis.,"McCambridge J; Jenkins RJ; Drug & Alcohol Dependence, 2008 Aug 1; 96 (3): 263-70. (journal article - research, systematic review, tables/charts) ISSN: 0376-8716 PMID: 18457926 CINAHL AN: 200997887","McCambridge J(1), Jenkins RJ.",
620,1071,27980,Short- versus long-course antibacterial therapy for community-acquired pneumonia: a meta-analysis.,Short- versus long-course antibacterial therapy for community-acquired pneumonia  : a meta-analysis.,"Dimopoulos G; Matthaiou DK; Karageorgopoulos DE; Grammatikos AP; Athanassa Z; Falagas ME; Drugs, 2008; 68 (13): 1841-54. (journal article - research, systematic review, tables/charts) ISSN: 0012-6667 PMID: 18729535 CINAHL AN: 201003682","Dimopoulos G(1), Matthaiou DK, Karageorgopoulos DE, Grammatikos AP, Athanassa Z,  Falagas ME.",
621,1073,27048,The safety and efficacy of bilateral simultaneous total hip replacement: an analysis of 2063 cases.,The safety and efficacy of bilateral simultaneous total hip replacement: an analysis of 2063 cases.,"Tsiridis E; Pavlou G; Charity J; Tsiridis E; Gie G; West R; Journal of Bone & Joint Surgery, British Volume, 2008 Aug; 90B (8): 1005-12. (journal article - research, systematic review, tables/charts) ISSN: 0301-620X PMID: 18669954 CINAHL AN: 201000699","Tsiridis E(1), Pavlou G, Charity J, Tsiridis E, Gie G, West R.",
622,1074,27053,"Does taking vitamin, mineral and fatty acid supplements prevent cognitive decline? A systematic review of randomized controlled trials.","Does taking vitamin, mineral and fatty acid supplements prevent cognitive decline? A systematic review of randomized controlled trials.","Jia X; McNeill G; Avenell A; Journal of Human Nutrition & Dietetics, 2008 Aug; 21 (4): 317-36. (journal article - equations & formulas, research, systematic review, tables/charts) ISSN: 0952-3871 PMID: 18721399 CINAHL AN: 200997676","Jia X(1), McNeill G, Avenell A.",
623,1075,27059,Prophylactic antibiotics in the prevention of catheter-associated bloodstream bacterial infection in preterm neonates: a systematic review.,Prophylactic antibiotics in the prevention of catheter-associated bloodstream bacterial infection in preterm neonates: a systematic review.,"Lodha A; Furlan AD; Whyte H; Moore AM; Journal of Perinatology, 2008 Aug; 28 (8): 526-33. (journal article - research, systematic review, tables/charts) ISSN: 0743-8346 PMID: 18401350 CINAHL AN: 200999152","Lodha A(1), Furlan AD, Whyte H, Moore AM.",
624,1076,27060,"Externalizing pathology and the five-factor model: a meta-analysis of personality traits associated with antisocial personality disorder, substance use disorder, and their co-occurrence.","Externalizing pathology and the five-factor model: a meta-analysis of personality traits associated with antisocial personality disorder, substance use disorder, and their co-occurrence.","Ruiz MA; Pincus AL; Schinka JA; Journal of Personality Disorders, 2008 Aug; 22 (4): 365-88. (journal article - research, systematic review, tables/charts) ISSN: 0885-579X PMID: 18684050 CINAHL AN: 200999596","Ruiz MA(1), Pincus AL, Schinka JA.",
625,1077,27072,Diagnostic accuracy of magnetic resonance angiography for internal carotid artery disease: a systematic review and meta-analysis.,Diagnostic accuracy of magnetic resonance angiography for internal carotid artery disease: a systematic review and meta-analysis.,"Debrey SM; Yu H; Lynch JK; LÃ¶vblad KO; Wright VL; Janket SJ; Baird AE; Stroke (00392499), 2008 Aug; 39 (8): 2237-48. (journal article - research, systematic review) ISSN: 0039-2499 PMID: 18556586 CINAHL AN: 200999587","Debrey SM(1), Yu H, Lynch JK, LÃ¶vblad KO, Wright VL, Janket SJ, Baird AE.",
626,1079,26924,Laser application in non-surgical periodontal therapy: a systematic review.,Laser application in non-surgical periodontal therapy: a systematic review.,"Schwarz F; Aoki A; Becker J; Sculean A; Journal of Clinical Periodontology, 2008 Aug; 35: Supplement 8: 29-44. (journal article - research, systematic review, tables/charts) ISSN: 0303-6979 PMID: 18724840 CINAHL AN: 201001987","Schwarz F(1), Aoki A, Becker J, Sculean A.",
627,1083,26991,Systematic review: T-cell-based assays for the diagnosis of latent tuberculosis infection: an update.,Systematic review: T-cell-based assays for the diagnosis of latent tuberculosis infection: an update.,"Pai M; Zwerling A; Menzies D; Annals of Internal Medicine, 2008 Aug 5; 149 (3): 177-84. (journal article - research, systematic review, tables/charts) ISSN: 0003-4819 PMID: 18593687 CINAHL AN: 200999657","Pai M(1), Zwerling A, Menzies D.",
628,1084,27044,"Association between self-report pain ratings of child and parent, child and nurse and parent and nurse dyads: meta-analysis.","Association between self-report pain ratings of child and parent, child and nurse and parent and nurse dyads: meta-analysis.","Zhou H; Roberts P; Horgan L; Journal of Advanced Nursing, 2008 Aug; 63 (4): 334-42. (journal article - research, systematic review, tables/charts) ISSN: 0309-2402 PMID: 18727759 CINAHL AN: 200998519","Zhou H(1), Roberts P, Horgan L.",
629,1086,26978,Drowning in people with epilepsy: how great is the risk?,Drowning in people with epilepsy: how great is the risk?,"Bell GS; Gaitatzis A; Bell CL; Johnson AL; Sander JW; Neurology, 2008 Aug 19; 71 (8): 578-82. (journal article - research, systematic review, tables/charts) ISSN: 0028-3878 PMID: 18711111 CINAHL AN: 201002057","Bell GS(1), Gaitatzis A, Bell CL, Johnson AL, Sander JW.",
630,1087,26856,Low-protein diet for diabetic nephropathy: a meta-analysis of randomized controlled trials.,Low-protein diet for diabetic nephropathy: a meta-analysis of randomized controlled trials.,"Pan Y; Guo LL; Jin HM; American Journal of Clinical Nutrition, 2008 Sep; 88 (3): 660-6. (journal article - research, systematic review, tables/charts) ISSN: 0002-9165 PMID: 18779281 CINAHL AN: 201004577","Pan Y(1), Guo LL, Jin HM.",
631,1088,26857,Type 2 diabetes mellitus and risk of non-Hodgkin lymphoma: a systematic review and meta-analysis.,Type 2 diabetes mellitus and risk of non-Hodgkin lymphoma: a systematic review and meta-analysis.,"Chao C; Page JH; American Journal of Epidemiology, 2008 Sep 1; 168 (5): 471-80. (journal article - research, systematic review, tables/charts) ISSN: 0002-9262 PMID: 18611954 CINAHL AN: 201003488","Chao C(1), Page JH.",
632,1089,26864,The effect of pentoxifylline on proteinuria in diabetic kidney disease: a meta-analysis.,The effect of pentoxifylline on proteinuria in diabetic kidney disease: a meta-analysis.,"McCormick BB; Sydor A; Akbari A; Fergusson D; Doucette S; Knoll G; American Journal of Kidney Diseases, 2008 Sep; 52 (3): 454-63. (journal article - research, systematic review) ISSN: 0272-6386 PMID: 18433957 CINAHL AN: 201002435","McCormick BB(1), Sydor A, Akbari A, Fergusson D, Doucette S, Knoll G.",
